Name,Position,Company,Education,Location,Connections,Profile Link
Sam Shank,Head of Hotels,Airbnb,,"San Francisco, California",,https://www.linkedin.com/in/samshank/
Nick Mehta,CEO,Gainsight,Harvard University,San Francisco Bay Area,500+,https://www.linkedin.com/in/nickmehta/
Randy Parker,CEO,Genius Rx,NYU Stern School of Business,Miami/Fort Lauderdale Area,500+,https://www.linkedin.com/in/randy-parker-01452228/
Walt Bettinger,CEO,Charles Schwab,Harvard Business School,"San Francisco, California",,https://www.linkedin.com/in/waltbettinger/
Evan Meyer,CEO,Beautify Earth,Indiana University Bloomington,"Santa Monica, California",500+,https://www.linkedin.com/in/evan-meyer/
Larry Fink,CEO,BlackRock,UCLA,"New York, New York",,https://www.linkedin.com/in/laurencefink/
Zach Nelson,CEO,NetSuite,Stanford University,San Francisco Bay Area,205,https://www.linkedin.com/in/zachnelson/
Connie Foote,CEO,DACK,Duke University,"Orlando, Florida Area",500+,https://www.linkedin.com/in/conniefoote/
Tim Buckley,CEO,Vanguard,Harvard Business School,"Wayne, Pennsylvania",,https://www.linkedin.com/in/mortimerjbuckley/
Tyler Scriven,CEO,Saltbox,University of Virginia,"Atlanta, Georgia",500+,https://www.linkedin.com/in/tylerscriven/
Brandon Friend,CEO,SourceStrike,"University of California, Irvine","Irvine, California",500+,https://www.linkedin.com/in/bgfriend0/
George Sherman,CEO,GameStop,Saint Michael's College,"Grapevine, Texas",500+,https://www.linkedin.com/in/georgesherman/
Ed Daihl,CEO,"TrackVia, Inc.",University of Baltimore,Greater Denver Area,500+,https://www.linkedin.com/in/ed-daihl-841b3/
Michael Crandell,CEO,Bitwarden,Harvard University,"Santa Barbara, California Area",500+,https://www.linkedin.com/in/michaelcrandell/
Niren Chaudhary,CEO,Panera Bread,Faculty of Management Studies - University of Delhi,United States,500+,https://www.linkedin.com/in/niren-chaudhary-02ba7b11/
Niren Chaudhary,CEO,Panera Bread,Faculty of Management Studies - University of Delhi,United States,500+,https://www.linkedin.com/in/niren-chaudhary-02ba7b11/
Angela Benton,CEO,Streamlytics,Savannah College of Art and Design,"Los Angeles, California",500+,https://www.linkedin.com/in/abenton/
Eric Ries,CEO,Long-Term Stock Exchange,Yale University,San Francisco Bay Area,,https://www.linkedin.com/in/eries/
Michelle Gass,CEO,Kohl's,,"Menomonee Falls, Wisconsin",500+,https://www.linkedin.com/in/michelle-gass-709728a/
Sumit Gupta,CEO,MatchPoint Solutions,,San Francisco Bay Area,500+,https://www.linkedin.com/in/sumit-gupta-6196751/
Ryan Singer,CEO,Flux Financial,,"San Francisco, California",500+,https://www.linkedin.com/in/ryans/
Dennis Underwood,CEO,"Cyber Crucible, Inc.",University of North Carolina at Charlotte,Greater Pittsburgh Area,500+,https://www.linkedin.com/in/dennis-underwood/
Kevin Pomplun,CEO,Go,N/A,San Francisco Bay Area,500+,https://www.linkedin.com/in/kevinpomplun/
Tasha McCauley,CEO,GeoSim Systems,University of Southern California,Greater Los Angeles Area,500+,https://www.linkedin.com/in/tasha-mccauley-25475a54/
Elizabeth Cholawsky PhD,CEO,HG Insights,Stanford Law School - Directors' College,"Santa Barbara, California",500+,https://www.linkedin.com/in/elizabeth-cholawsky-phd-19b14/
Sam King,CEO,Veracode,University of Pennsylvania,Greater Boston Area,500+,https://www.linkedin.com/in/sam-king-0643726/
Veronica Lake,CEO,Sky High PEO,National University,"San Juan Capistrano, California",500+,https://www.linkedin.com/in/veronica-lake-664b3429/
Adam Coyle,CEO,Digital River,,Greater Minneapolis-St. Paul Area,500+,https://www.linkedin.com/in/adcoyle/
Dan Wernikoff,CEO,LegalZoom,University of Pittsburgh Katz Graduate School of Business,United States,500+,https://www.linkedin.com/in/dwernikoff/
Antonio Pietri,CEO,"Aspen Technology, Inc.",University of Houston,Greater Boston Area,500+,https://www.linkedin.com/in/antonio-pietri-5a8a164/
Rick Chiorando,CEO,Austin & Williams,State University of New York College at Buffalo,"Hauppauge, New York",500+,https://www.linkedin.com/in/chiorick/
Lawrence Mulligan,CEO,Carma Technology,University of Witwatersrand,"Austin, Texas",500+,https://www.linkedin.com/in/mulliganlawrence/
Jaye Connolly-LaBelle,CEO,"RippleNami, Inc.",Texas Tech University,Greater San Diego Area,500+,https://www.linkedin.com/in/jaye-connolly-labelle-830b50/
Max Makhkamov,CEO,Pacific Town Car SF,Russian Tajik Slavonic University,San Francisco Bay Area,500+,https://www.linkedin.com/in/max-makhkamov-6839b0195/
David Tanner,CEO,Boardriders,The Wharton School,"Venice, California",500+,https://www.linkedin.com/in/david-tanner-03ba0/
Sai Gundavelli,CEO,"Solix Technologies, Inc.",University of Oklahoma,"Santa Clara, California",500+,https://www.linkedin.com/in/saigundavelli/
Ed Kinnaly,CEO,"Bauer Hockey, Maverik & Cascade Lacrosse",Babson College,Greater Boston Area,500+,https://www.linkedin.com/in/ed-kinnaly-8503564/
Pankaj Parekh,CEO,Security First Corp.,Carnegie Mellon University,"Fremont, California",500+,https://www.linkedin.com/in/pparekh/
Timothy Chi,CEO,The Knot Worldwide,Cornell University,"Chevy Chase, Maryland",500+,https://www.linkedin.com/in/timothychi/
Kevin Connelly,CEO,Kincentric,The University of Chicago - Booth School of Business,"Lake Forest, Illinois",500+,https://www.linkedin.com/in/kevin-connelly-2928946/
Raymond Chang,CEO,Agrify Corp.,"Harvard University, John F. Kennedy School of Government",Greater Boston Area,500+,https://www.linkedin.com/in/raymondnchang/
Lee Elkinson,CEO,"Sentech Services, Inc.",University of Connecticut,"Bloomfield Hills, Michigan",500+,https://www.linkedin.com/in/elkinson/
Jonathan Huberman,CEO,Software Acquisition Group (NASDAQ: SAQNU),University of Pennsylvania - The Wharton School,"Las Vegas, Nevada",500+,https://www.linkedin.com/in/jonathanhuberman/
Tushar Kothari,CEO,"Attivo Networks, Inc.",Rutgers University,"Fremont, California",500+,https://www.linkedin.com/in/tushar-kothari-2ba1804/
Gregory Gittrich,CEO,Startup (in Stealth Mode),New York University,Greater New York City Area,500+,https://www.linkedin.com/in/gregory-gittrich-0638b76/
Jeffrey K Labrum,CEO,Lingotek,University of Utah - David Eccles School of Business,"Draper, Utah",500+,https://www.linkedin.com/in/jeffreyklabrum/
Evan J. Brandt,CEO,Videoms.com,California Lutheran University,Greater Los Angeles Area,500+,https://www.linkedin.com/in/evanjbrandt/
Mark Bergsrud,CEO,Grab,Syracuse University - Maxwell School,"Houston, Texas Area",500+,https://www.linkedin.com/in/markbergsrud/
Brian Witlin,CEO,Yummly,Stanford University,San Francisco Bay Area,500+,https://www.linkedin.com/in/brianwitlin/
"Derek Taller, Ph.D.",CEO,VISIONBioBanc,UC Berkeley,"New York, New York",500+,https://www.linkedin.com/in/derek-taller-ph-d-9467114/
Julia Hartz,CEO,Eventbrite,Pepperdine University,San Francisco Bay Area,,https://www.linkedin.com/in/juliahartz/
Michael Boustridge,CEO,Ciklum,,Dallas/Fort Worth Area,500+,https://www.linkedin.com/in/michael-boustridge-a04128/
Tim Gokey,CEO,Broadridge,University of Oxford,Greater New York City Area,500+,https://www.linkedin.com/in/timgokey/
Victoria Coleman,CEO,Atlas AI,The University of Manchester,San Francisco Bay Area,500+,https://www.linkedin.com/in/victoriastavridoucoleman/
Pepe Agell,CEO,Chartboost,ETH Zürich,"San Francisco, California",500+,https://www.linkedin.com/in/joseluisagell/
Brett Cummings,CEO,Left Coast Ventures,Indiana University - Kelley School of Business,"San Francisco, California",500+,https://www.linkedin.com/in/brettcummings/
David Yoon,CEO,Lucratum Holdings,Stanford University Graduate School of Business,Greater Chicago Area,500+,https://www.linkedin.com/in/dyoon/
Joshua Crumbaugh,CEO,PhishFirewall™,Oral Roberts University,"Madison, Alabama",500+,https://www.linkedin.com/in/joshuacrumbaugh/
Larry Feinstein,CEO,Hire Dynamics,Muhlenberg College,"Atlanta, Georgia",500+,https://www.linkedin.com/in/larryfeinstein/
Lawrence Angeli,CEO,Sift,Indiana University - Kelley School of Business,"Detroit, Michigan",500+,https://www.linkedin.com/in/lawrenceangeli/
Robert Choi,CEO,Caraday Healthcare,,"Austin, Texas Area",500+,https://www.linkedin.com/in/rchoi/
Adam Famularo,CEO,"erwin, Inc.",Harvard Business School,"Garden City, New York",500+,https://www.linkedin.com/in/adamfamularo/
John Lemp,CEO,Powr OTT,Rochester Institute of Technology,"Santa Monica, California",500+,https://www.linkedin.com/in/johndlemp/
Kermit S. Randa,CEO,Kaufman Hall,Harvard Business School,"Atlanta, Georgia",500+,https://www.linkedin.com/in/kermitranda/
Zach Morrison,CEO,Tinuiti,,Miami/Fort Lauderdale Area,500+,https://www.linkedin.com/in/zmorrison/
Bob Scarperi,CEO,Voyager Commercial,The College of New Jersey,Greater New York City Area,500+,https://www.linkedin.com/in/bob-scarperi-5244061/
Matt Gillis,CEO,Clean.io,Wilfrid Laurier University,"Baltimore, Maryland Area",500+,https://www.linkedin.com/in/gillisusa/
James Park,CEO,Garbanzo Mediterranean Fresh,Saint Louis University,"Englewood, Colorado",500+,https://www.linkedin.com/in/james-park-199474b/
Rob Weisberg,CEO,Invaluable,University of Rochester,Greater Boston Area,500+,https://www.linkedin.com/in/robweisberg/
Jennifer Sun,CEO,StarCompliance,,Greater New York City Area,500+,https://www.linkedin.com/in/jennifer-sun-917a496/
Benjamin Geyerhahn,CEO,Workers Benefit Fund,Fordham University School of Law,"New York, New York",500+,https://www.linkedin.com/in/bengeyerhahn/
Brian Marlier,CEO,Focal Point Data Risk,University of Illinois at Urbana-Champaign,United States,500+,https://www.linkedin.com/in/brian-marlier-0b357615/
Clay Kellogg,CEO,Terminal,Harvard Business School,San Francisco Bay Area,500+,https://www.linkedin.com/in/claykellogg/
Troy Cromwell,CEO,Cromtec Cyber Solutions Inc.,Harvard University,Washington D.C. Metro Area,500+,https://www.linkedin.com/in/troycromwell/
Zachary Collier,CEO,Viking Staffing,,"Orlando, Florida Area",500+,https://www.linkedin.com/in/countrywidecompanies/
John Vitalie,CEO,Bigfinite Inc.,Stanford University Graduate School of Business,"San Francisco, California",500+,https://www.linkedin.com/in/johnvitalie/
Michael de la Torre,CEO,Govzilla,The University of Chicago Booth School of Business,San Francisco Bay Area,500+,https://www.linkedin.com/in/michaeldlt/
Subba Reddy Kamanuri,CEO,Talent Enterprises LLC,ZPP high school,"Gaithersburg, Maryland",500+,https://www.linkedin.com/in/subba-reddy-kamanuri-281b9057/
Thomas Bennett,CEO,"Inertial Sense, Inc.",Stanford University Graduate School of Business,"Salt Lake City, Utah",500+,https://www.linkedin.com/in/thomasbennett101/
Dwight Newman,CEO,New Healthcare Professionals,University of the West Indies,"Altamonte Springs, Florida",500+,https://www.linkedin.com/in/dwight-newman-31927627/
Chad Parodi,CEO,XMI,Georgia Southern University,"Nashville, Tennessee",500+,https://www.linkedin.com/in/chadparodi/
Krishna Reddy,CEO,Amnet Digital,"Institute of Business Administration & Management, New Delhi, India","Austin, Texas Area",500+,https://www.linkedin.com/in/krish-reddy/
Iris Garcia,CEO,IG Technologies,,"Miami, Florida",500+,https://www.linkedin.com/in/irisrgarcia/
Stephen Marshall,CEO,ShootProof,University of Florida,"Duluth, Georgia",500+,https://www.linkedin.com/in/stevemarshall1923/
Chris Maccaro,CEO,Beachfront Media,Arizona State University,"New York, New York",500+,https://www.linkedin.com/in/chrismaccaro/
Jules Polonetsky,CEO,The Future of Privacy Forum,New York University School of Law,"Potomac, Maryland",,https://www.linkedin.com/in/julespolonetsky/
Lisa M Lambert,CEO,National Grid,Harvard Business School,San Francisco Bay Area,,https://www.linkedin.com/in/lisa-m-lambert-141448/
Laura Slover,CEO,CenterPoint Education Solutions,Georgetown University,"Washington, District Of Columbia",500+,https://www.linkedin.com/in/lauraslover/
Liz Brolick,CEO,Switchgear Search and Recruiting,University of Oklahoma - Price College of Business,"Tulsa, Oklahoma",500+,https://www.linkedin.com/in/lizbrolick/
Tom Lipscomb,CEO,Atebion LLC,University of Phoenix,Greater Tampa Bay Area,500+,https://www.linkedin.com/in/tom-lipscomb-6a07759/
Adi Saric,•Founder & Chief Technology Officer,CompuSight Corporation,University of Washington,"Seattle, Washington",500+,https://www.linkedin.com/in/adisaric/
Anshuman Sinha,CEO,Optizm Global,"University of California, Irvine","Cerritos, California",500+,https://www.linkedin.com/in/anshumansinha1/
Chad Epling,CEO,Mamenta,The University of Akron,"Denver, Colorado",500+,https://www.linkedin.com/in/chadepling/
"Joy Bunde, SHRM-CP",CEO,Ignite Staffing Solutions,University of Alaska Anchorage,"Redmond, Oregon",500+,https://www.linkedin.com/in/joybunde/
Nandini Shenoy,CEO,PINKVILLA,Mangalore University,"Sunnyvale, California",500+,https://www.linkedin.com/in/nandini-shenoy-1a02753/
Brian Sheng,CEO,Asia Horizon,Princeton University,"New York, New York",500+,https://www.linkedin.com/in/brian-sheng/
Barrett Saik,CEO,"Green Bits, Inc.",UCLA Anderson School of Management,"Los Altos, California",500+,https://www.linkedin.com/in/barrysaik/
Beth Berger,CEO,Exym,Stanford University Graduate School of Business,San Francisco Bay Area,500+,https://www.linkedin.com/in/beth-berger-7b783a10/
Aaron Shapiro,CEO,A Stealth Company,Harvard University,"New York, New York",500+,https://www.linkedin.com/in/amshap/
Kenton B.,CEO,Kikt LLC,New York University Shanghai,"New York, New York",500+,https://www.linkedin.com/in/kenton-b-a7163589/
"Jeff Stuek, Jr.",CEO,Green Street Advisors,University of North Carolina at Chapel Hill,"Morristown, New Jersey",500+,https://www.linkedin.com/in/jeff-stuek-jr-a71513/
Chris Rawlings,CEO,Sophie Society Co.,"Rutgers, The State University of New Jersey-New Brunswick","San Francisco, California",500+,https://www.linkedin.com/in/chrishanemannrawlings/
Adam F.,CEO,Help.com,University of Houston-Downtown,"Houston, Texas Area",500+,https://www.linkedin.com/in/adamfarrar/
Frances Allen,CEO,Checkers & Rally’s Drive-In Restaurants,Harvard Business School,"Golden, Colorado",500+,https://www.linkedin.com/in/frances-allen-6051125/
Steve Shaffer,CEO,"Insite Software, An Episerver Company",,Greater Minneapolis-St. Paul Area,500+,https://www.linkedin.com/in/stephenshaffer/
Patrick Ghilani,CEO,MRI Software LLC,Michigan State University,"Wexford, Pennsylvania",500+,https://www.linkedin.com/in/patrickghilani/
Muthla Al-Sayer,CEO,omniX labs,MIT Sloan School of Management,"New York, New York",500+,https://www.linkedin.com/in/muthla-al-sayer/
Martin Lund,CEO,Metaswitch Networks,IMD Business School,"Los Altos, California",500+,https://www.linkedin.com/in/martinlundca/
Tom Amburgey,CEO,GCR Inc.,University of Florida - Warrington College of Business,"Lake Mary, Florida",500+,https://www.linkedin.com/in/twamburgey/
Luke Droulez,CEO,Ladder,Carnegie Mellon University - Tepper School of Business,Greater Los Angeles Area,500+,https://www.linkedin.com/in/lukedroulez/
Anurag Mehta,CEO,"SkillNet Solutions, Inc.",Indian Institute of Management Ahmedabad,San Francisco Bay Area,500+,https://www.linkedin.com/in/anurag-mehta-60625a1/
Doug Schneider,CEO,2nd Watch,Northwestern University - Kellogg School of Management,"Seattle, Washington",500+,https://www.linkedin.com/in/dougschneider/
Sumit Aneja,CEO,Voxco Survey Software,Yale School of Management,"Stamford, Connecticut",500+,https://www.linkedin.com/in/sumit-aneja/
Karl H. Watson Jr.,CEO,"Forterra, Inc.",,"Houston, Texas Area",500+,https://www.linkedin.com/in/karl-h-watson-jr-6bb4b1b/
Brent Willis,CEO,New Age Beverages Corporation,,Greater Denver Area,500+,https://www.linkedin.com/in/brent-willis-7720635/
Karl Florida,CEO,Avionte Staffing Software,Stanford University Graduate School of Business,Greater Minneapolis-St. Paul Area,500+,https://www.linkedin.com/in/karl-florida-a097215/
Michael Newman,CEO,"MediaPlatform, Inc.",University of Pennsylvania Carey Law School,Greater Los Angeles Area,500+,https://www.linkedin.com/in/michael-newman-97036/
Matthew Klepac Mirabella,CEO,VertifyData,,"Austin, Texas",500+,https://www.linkedin.com/in/matthew-klepac-mirabella-9206b825/
Paul Della Maggiora,CEO,"GoBeep, Inc.",University of South Carolina-Columbia,"Greenville, South Carolina Area",500+,https://www.linkedin.com/in/pauldellamaggiora/
Darrell Huntsman,CEO,Frost & Sullivan,Harvard Business School,"Park City, Utah",500+,https://www.linkedin.com/in/darrellhuntsman/
Rod Colwell,CEO,Controlled Thermal Resources US Inc.,,"El Centro, California",500+,https://www.linkedin.com/in/rodcolwell/
Ryan Niemann,CEO,Cirrus Insight,University of Colorado Boulder,Greater Denver Area,500+,https://www.linkedin.com/in/ryanniemann/
Geoff Garrett,CEO,SYSPRO USA,,"Orange County, California Area",500+,https://www.linkedin.com/in/geoffgarrettsysprousa/
Gary Reedy,CEO,American Cancer Society and American Cancer Society Cancer Action Network,Emory and Henry College,"Atlanta, Georgia",500+,https://www.linkedin.com/in/gary-reedy-66742ab8/
Mark Gally,CEO,"Zaius, Inc.",Cornell University,Greater Boston Area,500+,https://www.linkedin.com/in/markgally/
H. John Oechsle,CEO,Derive Systems,The Tuck School of Business at Dartmouth,"Denver, Colorado",500+,https://www.linkedin.com/in/hjohnoechsle/
Chris Hamby,CEO,Blue Room Inc.,Johnson County Community College,"Austin, Texas",500+,https://www.linkedin.com/in/jchrishamby/
Luis Cuneo,CEO,Mojavié Inc.,University of Phoenix,Greater New York City Area,500+,https://www.linkedin.com/in/luiscuneo/
Rami Salhieh,CEO,Logical Resources Sales & Technical Recruitment,Wright State University,"Orange County, California Area",500+,https://www.linkedin.com/in/rami-salhieh-30907816/
Julia Dunne,CEO,The Right Hire,Rider University,"Milford, Connecticut",500+,https://www.linkedin.com/in/juliadunne/
Kevin Hess,CEO,Theery,United States Marine Corps. Supply School,Greater Los Angeles Area,500+,https://www.linkedin.com/in/kevinhess22/
Michael Scharff,CEO,Evolv Technologies,University of Iowa,"Los Altos, California",500+,https://www.linkedin.com/in/michaelscharff/
Avi Lonstein,CEO,"Airespring, Inc.","California State University, Northridge",Greater Los Angeles Area,500+,https://www.linkedin.com/in/avi-lonstein-0b52b/
Dan McCann,CEO,SymTrain,Mary Washington College,Greater Atlanta Area,500+,https://www.linkedin.com/in/dan-mccann-24172a1/
Dale E. Jones,CEO,AltoPartners,Morehouse College,"Washington, District Of Columbia",500+,https://www.linkedin.com/in/dale-e-jones-231106124/
Doug Butler,CEO,Reward Gateway,Princeton University,San Francisco Bay Area,500+,https://www.linkedin.com/in/doug-butler-6007083/
Kim Axel Lopdrup,CEO,Red Lobster,Harvard Business School,"Orlando, Florida",500+,https://www.linkedin.com/in/kim-axel-lopdrup-23919ab/
John Deignan,CEO,Baker Hill,Marquette University,"Indianapolis, Indiana",500+,https://www.linkedin.com/in/jmartindeignan/
Mahesh Rajasekharan,CEO,Cleo Communications,"University of California, Berkeley, Haas School of Business",San Francisco Bay Area,500+,https://www.linkedin.com/in/maheshrajasekharan/
Serge Matta,CEO,"ICX Media, Inc.",American University,"Vienna, Virginia",500+,https://www.linkedin.com/in/sergematta/
Steve Peck,CEO,"elPecko Worldwide, LLC",Towson University,"Baltimore, Maryland Area",500+,https://www.linkedin.com/in/stevepeckprofile/
Gidi Cohen,CEO,Octarine,Tel Aviv University,San Francisco Bay Area,500+,https://www.linkedin.com/in/gidicohen/
Frank Rodorigo,CEO,Skills Matter,Illinois Institute of Technology,"Austin, Texas",500+,https://www.linkedin.com/in/frankrodorigo/
Raj Khera,Executive VP and Chief Marketing Officer,WealthEngine,"University of Maryland, College Park",Washington D.C. Metro Area,500+,https://www.linkedin.com/in/rajkhera/
Joe Sander,CEO,Arxan Technologies,Appalachian State University,"San Francisco, California",500+,https://www.linkedin.com/in/joesander/
Ziad Khan,CEO,CPEC.fund,"Peace.Univeristy, USA",Washington D.C. Metro Area,500+,https://www.linkedin.com/in/ziadkhan/
Klaus Oestermann,CEO,BedRock Systems Inc.,Copenhagen Business School,San Francisco Bay Area,500+,https://www.linkedin.com/in/klausoestermann/
Derrick L. Miles,CEO,CourMed®,Stanford University,Dallas/Fort Worth Area,500+,https://www.linkedin.com/in/derrickmiles/
Dan Eckert,CEO,StatLab Medical Products,Center for Creative Leadership,"Incline Village, Nevada",500+,https://www.linkedin.com/in/daeckert/
David Safaii,CEO,Trilio Data,Boston College,Greater Boston Area,500+,https://www.linkedin.com/in/safaii/
Michael Grochol,CEO,"Iron EagleX, Inc.",,"Tampa, Florida",500+,https://www.linkedin.com/in/michael-grochol-95822b1b/
Kato Faylor,Executive Assistant to the Chief Marketing Officer,Salesforce,California State University-Chico,"Santa Clara, California",500+,https://www.linkedin.com/in/katohines/
James Q.,CEO,Stealth Startup,McGill University,"San Mateo, California",500+,https://www.linkedin.com/in/james-q-121a72/
Mark Stoever,CEO,2020 Inc.,Boston University,"Boston, Massachusetts",500+,https://www.linkedin.com/in/mark-stoever-343659/
John Case,CEO,Unify Square,Dartmouth College - The Tuck School of Business at Dartmouth,"Bellevue, Washington",500+,https://www.linkedin.com/in/jocase/
Steve Halland,CEO,LiquidCool Solutions,University of San Francisco,"Eagle, Idaho",500+,https://www.linkedin.com/in/stevehalland/
Jim Jordan,CEO,RiverMeadow Software,Wallace E. Carroll School of Management,"Los Gatos, California",500+,https://www.linkedin.com/in/jim-jordan-b85a424/
Tom Erskine,CEO,One Door,Bates College,"Marblehead, Massachusetts",500+,https://www.linkedin.com/in/tomerskine1/
Donna J. Slatton,CEO,House of Zen Pilates & Wellness,Abilene Christian University,Greater Los Angeles Area,500+,https://www.linkedin.com/in/donna-j-slatton-79b08b15/
Michael Wong,CEO,Genea,"University of California, Los Angeles","Los Angeles, California",500+,https://www.linkedin.com/in/michael-s-wong/
Karthik Kripapuri,CEO,Selligent Marketing Cloud,Denison University,"Raleigh-Durham, North Carolina Area",500+,https://www.linkedin.com/in/kkripapuri/
Greg Hall,CEO,AG Foundry,Purdue University,Greater Chicago Area,500+,https://www.linkedin.com/in/greghall/
Dan Magallanes,CEO,Headhunter Manila,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/dan-magallanes-2094551b/
Bobbie Garcia,CEO,"VISUM LANGUAGE INSTITUTE, Inc.",Bicol Teachers College (now Bicol University),Philippines,226,https://www.linkedin.com/in/bobbie-garcia-797575105/
chris egan roxas,CEO,XS Group,UST,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/chris-egan-roxas-57579351/
Miguel Juntura,CEO,South East Asia Manpower Corporation (SEAM Corp),,"NCR - National Capital Region, Philippines",431,https://www.linkedin.com/in/miguel-juntura-809359172/
Clay Vasquez,CEO,Ipvoice Communications Inc,,Philippines,500+,https://www.linkedin.com/in/clay-vasquez-420116158/
Dave Martin,CEO,SwapooLabs,University of Portsmouth,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/dave-martin-0b64411/
Leonard Leong,CEO,MESME,University of Saint La Salle,"Region VI - Western Visayas, Philippines",500+,https://www.linkedin.com/in/leonard-leong-b9354358/
"Julie Ann Gagarra, CHRP®",CEO,Kaluha's Cafe,Xavier University (Ateneo de Cagayan),"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/julie-ann-gagarra-chrp%C2%AE-30360b28/
Michael Losito,CEO,Infinite Paint,,Philippines,125,https://www.linkedin.com/in/michael-losito-41342b14a/
Marco Caillot,CEO,Cornerstone (A Forward Solutions Company),emlyon business school,Philippines,500+,https://www.linkedin.com/in/marco-caillot-b7b078148/
Jennifer Ligones,CEO,Third Pillar Business Applications Inc.,De La Salle University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/jennifer-ligones-2721b854/
Jean-Philippe Henry,CEO,Ecoglobal Inc.,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/jean-philippe-henry-1720b069/
Maria do Carmo Vidoeira,CEO,Indra,,Philippines,450,https://www.linkedin.com/in/maria-do-carmo-vidoeira-96b23b72/
Alessandro Mazzocco,CEO,ITASIA INDUSTRIES CORPORATION,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/alessandromazzocco/
arnel halol,CEO,Axis Source Point,Heald College,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/arnel-halol-9b3492129/
Aldrin Mababangloob,CEO,Sheeba International Manpower Services Corporation,De La Salle College of Saint Benilde,"NCR - National Capital Region, Philippines",159,https://www.linkedin.com/in/aldrin-mababangloob-76566338/
"Mark Anthony Melendres, PECE, ACPE, FACPE, ASEAN Engr., CCNP",CEO,Converge Training and IT Services,Ateneo de Manila University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/mark-anthony-melendres-pece-acpe-facpe-asean-engr-ccnp-1353b736/
Anna Patricia Avanzado,CEO,Edukasyon.ph,De La Salle- College of Saint Benilde,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/anna-patricia-avanzado-431363b6/
Cris Padilla Tagle,CEO,Zynappse Corporation,Technological Institute of the Philippines,"NCR - National Capital Region, Philippines",300,https://www.linkedin.com/in/cris-padilla-tagle-1663596a/
Jupiter Mars Gaboy,CEO,ELGEE.NET,AMA Computer College,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/elgeegaboy/
Karlvin Edeza,CEO,Kowdtech Corporation,STI College,"Region IVA - Calabarzon, Philippines",144,https://www.linkedin.com/in/karlvinedeza/
Jason Deniega,CEO,Lyon Software Technologies,De La Salle University,"NCR - National Capital Region, Philippines",135,https://www.linkedin.com/in/jason-deniega-2569a8165/
Henry Schumacher,CEO,Management Center Asia,"Grundschule Oberneuland / Gymnasium am Barkhof, Bremen",Philippines,500+,https://www.linkedin.com/in/henryschumacher/
Kristina Lim,CEO,"Bit Control Labs, Inc.",Ateneo de Manila University,"NCR - National Capital Region, Philippines",133,https://www.linkedin.com/in/kristinalim/
Elyn Capistrano,CEO,BPSOURCE Inc.,University of Santo Tomas,"NCR - National Capital Region, Philippines",341,https://www.linkedin.com/in/elyn-capistrano-042508/
Emiliano Romano,CEO,Redstar Asia Solutions INC.,"Scuola di commercio, Chiasso Switzerland","NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/emilianoromano/
EntrepnegosyoTM emarketTM,CEO,Self-employed,De La Salle University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/entrepnegosyotm-emarkettm-ab56a815a/
Monica Marrieta Rivera,Executive Assistant to the Executive Chief Officer and Area Director PH,Zuellig Pharma,De La Salle-College of Saint Benilde,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/monica-marrieta-rivera-527130a7/
Albert (Accenture),CEO,Alliance In Motion Global Incorporated,AMA University,"NCR - National Capital Region, Philippines",413,https://www.linkedin.com/in/albert-accenture-774b726b/
Orlydon Bautista,Building Business Eco Systems,DELIRUSH.PH CORP.,Nueva Ecija University of Science and Technology,"NCR - National Capital Region, Philippines",338,https://www.linkedin.com/in/orlydon-bautista-6009268/
Mark So,CEO,"Businessmaker Academy, Inc.",De La Salle University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/mark-so-934436/
Ephrem Dela Cerna,CEO,"Seaversity, Inc.",University of Cebu,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/seaversity/
Jojo Malolos,CEO,JG Digital Equity Ventures,University of the Philippines,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/jojo-malolos-5990a71/
Joseph Borja,CEO,ThingKing Innovation,FEU Institute of Technology,"NCR - National Capital Region, Philippines",100,https://www.linkedin.com/in/joseph-borja-b10379176/
Roy Noel Ibon,CEO,RNI Information Technology Service,Central Colleges of the Philippines,"NCR - National Capital Region, Philippines",63,https://www.linkedin.com/in/roy-noel-ibon-8075509a/
Jonathan Mantua,CEO,Mantua Consulting,De La Salle University,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/jmantua/
Greif Villum Klausen,CEO,itOperate,,"NCR - National Capital Region, Philippines",500+,https://www.linkedin.com/in/greifvillum/
